,Unnamed: 0,Unnamed: 0_x,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
95,95,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,95,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n613-k62.vrp,62600.0
96,96,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,96,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n233-k16.vrp,19693.0
97,97,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,97,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n916-k207.vrp,336103.0
98,98,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,98,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_8.vrp,12049.0
99,99,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,99,K5C10J2,K5E1C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_3.vrp,11417.0
100,100,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,100,K5C10J2,K5E1C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n685-k75.vrp,70596.0
101,101,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,101,K5C10J2,K5E1C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_9.vrp,514.0
102,102,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,102,K5C10J2,K5E1C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n916-k207.vrp,335834.0
103,103,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,103,K5C10J2,K5E1C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n251-k28.vrp,39604.0
104,104,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,104,K5C10J2,K5E1C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n502-k39.vrp,69927.0
105,105,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,105,K5C10J2,K5E1C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n101-k25.vrp,28153.0
106,106,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,106,K5C10J2,K5E1C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n275-k28.vrp,21671.0
107,107,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,107,K5C10J2,K5E1C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT9.vrp,1166.0
108,108,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,108,K5C10J2,K5E1C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n449-k29.vrp,57960.0
109,109,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,109,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n401-k29.vrp,68283.0
110,110,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,110,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n627-k43.vrp,63853.0
111,111,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,111,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n376-k94.vrp,148556.0
112,112,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,112,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n716-k35.vrp,45794.0
113,113,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,113,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n561-k42.vrp,44463.0
114,114,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,114,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n106-k14.vrp,26632.0
115,115,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,115,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n573-k30.vrp,52014.0
116,116,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,116,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n1001-k43.vrp,77019.0
117,117,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,117,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n134-k13.vrp,11120.0
118,118,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,118,K5C10J2,K5E3C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_4.vrp,13882.0
119,119,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,119,K5C10J2,K5E2C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n313-k71.vrp,96475.0
120,120,3,7,580,22,23,36,6,7,90,0.2599999999999999,1.3199999999999998,K5C10J2,120,K5C10J2,K5E2C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n289-k60.vrp,97427.0
