,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,.ID.,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,.PARENT.,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
161,161,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,161,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n573-k30.vrp,52077.0
162,162,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,162,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n749-k98.vrp,80821.0
163,163,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,163,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n298-k31.vrp,35684.0
164,164,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,164,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n979-k58.vrp,124026.0
165,165,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,165,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n303-k21.vrp,22267.0
166,166,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,166,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n214-k11.vrp,11321.0
167,167,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,167,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n148-k46.vrp,44309.0
168,168,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,168,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n327-k20.vrp,28385.0
169,169,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,169,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n313-k71.vrp,96532.0
170,170,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,170,K7C15J2,K7E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT8.vrp,856.0
